ENSG00000237365,1,RP11-334N17.1
ENSG00000207056,1,U1
ENSG00000237402,1,CAMTA1-IT1
ENSG00000237728,1,RP3-453P22.2
ENSG00000225126,1,RP4-549F15.1
ENSG00000049245,8,VAMP3
ENSG00000049246,8,PER3
ENSG00000236266,1,RP3-467L1.4
ENSG00000049247,8,UTS2
ENSG00000049249,4,TNFRSF9
ENSG00000243868,1,AL009183.1
ENSG00000116288,8,PARK7
ENSG00000200344,1,Y_RNA
ENSG00000116285,8,ERRFI1
ENSG00000225820,1,ERRFI1-IT1
ENSG00000238290,1,RP11-431K24.1
ENSG00000232848,1,CTA-215D11.4
ENSG00000229305,1,RP11-431K24.2
ENSG00000200975,1,U1
ENSG00000227634,1,RP11-431K24.3
ENSG00000233645,1,RP11-431K24.4
ENSG00000251977,1,U6
ENSG00000162426,10,SLC45A1
ENSG00000252254,1,Y_RNA
ENSG00000142599,13,RERE
ENSG00000232912,1,RP5-1115A15.1
ENSG00000221083,1,SNORA77
ENSG00000234619,1,RP4-633I8.1
ENSG00000224315,1,RP4-633I8.2
ENSG00000222511,1,Y_RNA
ENSG00000226545,1,RP4-633I8.3
ENSG00000228423,1,RP4-633I8.4
ENSG00000229716,1,RP11-185B14.1
ENSG00000074800,8,ENO1
ENSG00000236269,1,ENO1-IT1
ENSG00000230679,1,ENO1-AS1
ENSG00000201725,1,U6
ENSG00000238249,1,HMGN2P17
ENSG00000232208,1,RP3-477M7.5
ENSG00000232663,1,RP3-477M7.6
ENSG00000131686,7,CA6
ENSG00000197241,3,SLC2A7
ENSG00000142583,11,SLC2A5
ENSG00000252404,1,SCARNA16
ENSG00000180758,9,GPR157
ENSG00000207865,1,MIR34A
ENSG00000228526,1,RP3-510D11.1
ENSG00000234546,1,RP3-510D11.2
ENSG00000049239,7,H6PD
ENSG00000252841,1,Z98044.1
ENSG00000171621,9,SPSB1
ENSG00000252956,1,RN5S40
ENSG00000235263,1,RP13-392I16.1
ENSG00000171612,5,SLC25A33
ENSG00000231181,1,RP13-15M17.1
ENSG00000188807,8,TMEM201
ENSG00000171608,9,PIK3CD
ENSG00000179840,5,C1orf200
ENSG00000233268,1,RP11-558F24.2
ENSG00000231789,1,RP11-558F24.4
ENSG00000171603,11,CLSTN1
ENSG00000178585,10,CTNNBIP1
ENSG00000223989,1,RP11-84A14.5
ENSG00000234374,1,RP11-84A14.2
ENSG00000162441,6,LZIC
ENSG00000228150,1,RP11-84A14.4
ENSG00000173614,9,NMNAT1
ENSG00000202415,1,7SK
ENSG00000241326,1,RP11-807G9.2
ENSG00000162444,10,RBP7
ENSG00000225786,2,AL590639.1
ENSG00000130939,13,UBE4B
ENSG00000224340,1,RP11-496H15.2
ENSG00000233623,1,PGAM1P11
ENSG00000201746,1,U6
ENSG00000054523,11,KIF1B
ENSG00000199562,1,U6
ENSG00000142657,14,PGD
ENSG00000175279,14,APITD1
ENSG00000251503,2,APITD1-CORT
ENSG00000241563,2,CORT
ENSG00000160049,6,DFFA
ENSG00000203469,2,RP5-1113E3.3
ENSG00000142655,7,PEX14
ENSG00000243267,1,AL139423.1
ENSG00000130940,9,CASZ1
ENSG00000225158,1,RP11-340B24.3
ENSG00000175262,9,C1orf127
ENSG00000215785,2,CFL1P6
ENSG00000207213,1,Y_RNA
ENSG00000120948,10,TARDBP
ENSG00000009724,12,MASP2
ENSG00000116649,4,SRM
ENSG00000171824,9,EXOSC10
ENSG00000226849,1,RP4-635E18.7
ENSG00000230337,1,RP4-635E18.6
ENSG00000198793,7,MTOR
ENSG00000225602,1,MTOR-AS1
ENSG00000253086,1,U6
ENSG00000238547,1,snoU13
ENSG00000171819,4,ANGPTL7
ENSG00000207451,1,U6
ENSG00000238173,1,RPL39P6
ENSG00000120942,8,UBIAD1
ENSG00000238199,1,RP4-796F18.2
ENSG00000224338,1,RP11-149P14.1
ENSG00000204624,6,PTCHD2
ENSG00000235643,1,RP1-69M21.2
ENSG00000116661,8,FBXO2
ENSG00000132879,9,FBXO44
ENSG00000116663,6,FBXO6
ENSG00000116670,9,MAD2L2
ENSG00000162490,6,C1orf187
ENSG00000177674,10,AGTRAP
ENSG00000215910,3,C1orf167
ENSG00000177553,6,RP11-56N19.5
ENSG00000177000,6,MTHFR
ENSG00000011021,17,CLCN6
ENSG00000236997,1,RP5-934G17.2
ENSG00000242349,1,NPPA-AS1
ENSG00000175206,6,NPPA
ENSG00000120937,7,NPPB
ENSG00000224904,1,RP5-934G17.6
ENSG00000199347,1,RNU5E-1
ENSG00000201801,1,RNU5E-4P
ENSG00000116685,11,KIAA2013
ENSG00000083444,10,PLOD1
ENSG00000116688,10,MFN2
ENSG00000116691,6,MIIP
ENSG00000202461,1,Y_RNA
ENSG00000243539,1,AL096840.1
ENSG00000120949,10,TNFRSF8
ENSG00000201135,1,U6
ENSG00000227875,1,RP11-426M1.2
ENSG00000028137,11,TNFRSF1B
ENSG00000225196,1,RP5-1118D24.2
ENSG00000252969,1,SNORA70
ENSG00000048707,8,VPS13D
ENSG00000243206,1,AL109757.1
ENSG00000239149,1,SNORA59A
ENSG00000229484,1,RP5-888M10.2
ENSG00000241848,1,AL031296.1
ENSG00000162496,4,DHRS3
ENSG00000221340,1,U6atac
ENSG00000204518,2,AADACL4
ENSG00000226166,1,RP11-474O21.2
ENSG00000188984,7,AADACL3
ENSG00000238771,1,snoU13
ENSG00000157330,5,C1orf158
ENSG00000116726,4,PRAMEF12
ENSG00000116721,9,PRAMEF1
ENSG00000228338,1,RP5-845O24.8
ENSG00000204513,4,PRAMEF11
ENSG00000231103,2,RP5-845O24.3
ENSG00000179172,7,HNRNPCL1
ENSG00000120952,4,PRAMEF2
ENSG00000243073,3,PRAMEF4
ENSG00000187545,5,PRAMEF10
ENSG00000204510,1,PRAMEF7
ENSG00000207434,1,U6
ENSG00000234064,1,RP11-450I1.2
ENSG00000232423,3,PRAMEF6
ENSG00000250894,1,RP11-450I1.4
ENSG00000204508,3,PRAMEF22
ENSG00000239810,2,WI2-3308P17.2
ENSG00000250113,1,RP13-221M14.6
ENSG00000204505,3,RP13-221M14.1
ENSG00000233336,1,RP13-221M14.2
ENSG00000229978,1,RP13-221M14.3
ENSG00000236179,1,RP13-221M14.4
ENSG00000179412,7,RP13-221M14.5
ENSG00000224199,1,WI2-2994D6.1
ENSG00000229571,2,WI2-2994D6.2
ENSG00000204503,5,PRAMEF3
ENSG00000233394,1,RP11-248D7.2
ENSG00000204502,2,PRAMEF5
ENSG00000231219,1,RP11-219C24.8
ENSG00000207511,1,U6
ENSG00000235800,1,RP11-219C24.9
ENSG00000182330,6,PRAMEF8
ENSG00000237700,1,RP11-219C24.6
ENSG00000204501,2,PRAMEF9
ENSG00000228229,1,RP11-219C24.10
ENSG00000204495,3,PRAMEF13
ENSG00000204491,1,PRAMEF18
ENSG00000204488,3,PRAMEF16
ENSG00000204486,2,PRAMEF21
ENSG00000204485,2,XX-FW84067D5.1
ENSG00000224581,1,XX-FW84067D5.2
ENSG00000157358,6,PRAMEF15
ENSG00000236652,1,RP11-584P2.1
ENSG00000204481,5,PRAMEF14
ENSG00000204480,5,PRAMEF19
ENSG00000204479,3,PRAMEF17
ENSG00000204478,4,PRAMEF20
ENSG00000162494,5,LRRC38
ENSG00000259961,1,RP4-597A16.2
ENSG00000215909,3,RP4-597A16.3
ENSG00000162493,12,PDPN
ENSG00000222952,1,RN5S41
ENSG00000237445,1,CTA-520D8.2
ENSG00000253085,1,SCARNA11
ENSG00000116731,15,PRDM2
ENSG00000227612,1,RP5-1177E19.2
ENSG00000218328,3,C1orf196
ENSG00000252151,1,U6
ENSG00000231606,1,RP11-344F13.1
ENSG00000234593,1,RP4-704D23.1
ENSG00000189337,10,KAZN
ENSG00000235829,1,TBCAP2
ENSG00000175147,7,C1orf126
ENSG00000171729,8,TMEM51
ENSG00000204464,3,C1orf195
ENSG00000215720,3,RP1-21O18.3
ENSG00000142621,14,FHAD1
ENSG00000233485,1,RP3-467K16.2
ENSG00000236045,1,RP3-467K16.7
ENSG00000228140,1,RP3-467K16.4
ENSG00000142634,7,EFHD2
ENSG00000162438,7,CTRC
ENSG00000142615,6,CELA2A
ENSG00000215704,4,CELA2B
ENSG00000132906,12,CASP9
ENSG00000116138,7,DNAJC16
ENSG00000251866,1,SCARNA21
ENSG00000116771,5,AGMAT
ENSG00000237301,1,RP4-680D5.2
ENSG00000235084,2,CHCHD2P6
ENSG00000252417,1,U7
ENSG00000236500,1,RP4-680D5.4
ENSG00000197312,7,DDI2
ENSG00000215695,1,RSC1A1
ENSG00000116786,7,PLEKHM2
ENSG00000237938,1,RP11-288I21.1
ENSG00000162461,7,SLC25A34
ENSG00000224459,1,RP11-169K16.4
ENSG00000162460,6,TMEM82
ENSG00000162458,8,FBLIM1
ENSG00000224321,1,RP11-169K16.6
ENSG00000233954,4,RP11-169K16.7
ENSG00000178715,7,RP11-169K16.8
ENSG00000179743,2,RP11-169K16.9
ENSG00000065526,5,SPEN
ENSG00000238818,1,snoU13
ENSG00000116809,6,ZBTB17
ENSG00000234607,1,RP11-5P18.1
ENSG00000231353,1,RP11-5P18.3
ENSG00000224966,4,TBC1D3P6
ENSG00000183888,4,C1orf64
ENSG00000233078,1,RP11-5P18.5
ENSG00000173641,12,HSPB7
ENSG00000186510,6,CLCNKA
ENSG00000232456,1,RP11-5P18.10
ENSG00000184908,12,CLCNKB
